date,home_team,away_team,home_goals,away_goals,result
2025-10-19,Elche,Ath Bilbao,0,0,D
2025-10-19,Celta,Sociedad,1,1,D
2025-10-19,Levante,Vallecano,0,3,A
2025-10-19,Getafe,Real Madrid,0,1,A
2025-10-20,Alaves,Valencia,0,0,D
2025-10-24,Sociedad,Sevilla,2,1,H
2025-10-25,Valencia,Villarreal,0,2,A
2025-10-25,Ath Bilbao,Getafe,0,1,A
2025-10-25,Girona,Oviedo,3,3,D
2025-10-25,Espanol,Elche,1,0,H
2025-10-26,Mallorca,Levante,1,1,D
2025-10-26,Real Madrid,Barcelona,2,1,H
2025-10-26,Osasuna,Celta,2,3,A
2025-10-26,Vallecano,Alaves,1,0,H
2025-10-27,Betis,Ath Madrid,0,2,A
2025-10-31,Getafe,Girona,2,1,H
2025-11-01,Real Madrid,Valencia,4,0,H
2025-11-01,Ath Madrid,Sevilla,3,0,H
2025-11-01,Villarreal,Vallecano,4,0,H
2025-11-01,Sociedad,Ath Bilbao,3,2,H
2025-11-02,Levante,Celta,1,2,A
2025-11-02,Alaves,Espanol,2,1,H
2025-11-02,Barcelona,Elche,3,1,H
2025-11-02,Betis,Mallorca,3,0,H
2025-11-03,Oviedo,Osasuna,0,0,D
2025-11-07,Elche,Sociedad,1,1,D
2025-11-08,Espanol,Villarreal,0,2,A
2025-11-08,Ath Madrid,Levante,3,1,H
2025-11-08,Girona,Alaves,1,0,H
2025-11-08,Sevilla,Osasuna,1,0,H
2025-11-09,Ath Bilbao,Oviedo,1,0,H
2025-11-09,Vallecano,Real Madrid,0,0,D
2025-11-09,Mallorca,Getafe,1,0,H
2025-11-09,Valencia,Betis,1,1,D
2025-11-09,Celta,Barcelona,2,4,A
2025-11-21,Valencia,Levante,1,0,H
2025-11-22,Villarreal,Mallorca,2,1,H
2025-11-22,Alaves,Celta,0,1,A
2025-11-22,Barcelona,Ath Bilbao,4,0,H
2025-11-22,Osasuna,Sociedad,1,3,A
2025-11-23,Betis,Girona,1,1,D
2025-11-23,Getafe,Ath Madrid,0,1,A
2025-11-23,Elche,Real Madrid,2,2,D
2025-11-23,Oviedo,Vallecano,0,0,D
2025-11-24,Espanol,Sevilla,2,1,H
2025-11-28,Getafe,Elche,1,0,H
2025-11-29,Ath Madrid,Oviedo,2,0,H
2025-11-29,Mallorca,Osasuna,2,2,D
2025-11-29,Barcelona,Alaves,3,1,H
2025-11-29,Levante,Ath Bilbao,0,2,A
2025-11-30,Sociedad,Villarreal,2,3,A
2025-11-30,Sevilla,Betis,0,2,A
2025-11-30,Celta,Espanol,0,1,A
2025-11-30,Girona,Real Madrid,1,1,D
2025-12-01,Vallecano,Valencia,1,1,D
2025-12-02,Barcelona,Ath Madrid,3,1,H
2025-12-03,Ath Bilbao,Real Madrid,0,3,A
2025-12-05,Oviedo,Mallorca,0,0,D
2025-12-06,Alaves,Sociedad,1,0,H
2025-12-06,Betis,Barcelona,3,5,A
2025-12-06,Ath Bilbao,Ath Madrid,1,0,H
2025-12-06,Villarreal,Getafe,2,0,H
2025-12-07,Elche,Girona,3,0,H
2025-12-07,Valencia,Sevilla,1,1,D
2025-12-07,Espanol,Vallecano,1,0,H
2025-12-07,Real Madrid,Celta,0,2,A
2025-12-08,Osasuna,Levante,2,0,H
2025-12-12,Sociedad,Girona,1,2,A
2025-12-13,Mallorca,Elche,3,1,H
2025-12-13,Barcelona,Osasuna,2,0,H
2025-12-13,Getafe,Espanol,0,1,A
2025-12-13,Ath Madrid,Valencia,2,1,H
2025-12-14,Sevilla,Oviedo,4,0,H
2025-12-14,Celta,Ath Bilbao,2,0,H
2025-12-14,Alaves,Real Madrid,1,2,A
2025-12-15,Vallecano,Betis,0,0,D
