date,home_team,away_team,home_goals,away_goals,result,r_home_pre,r_away_pre,p_home,p_away,p_draw,r_home_post,r_away_post
2024-12-01,Villarreal,Girona,2,2,D,1542.9,1507.5,0.48679747820634733,0.2809472336969113,0.23225528809674134,1540.3,1510.1
2024-12-01,Real Madrid,Getafe,2,0,H,1570.2,1470.5,0.5718507219701229,0.22801364524241363,0.2001356327874635,1575.9,1464.8
2024-12-01,Vallecano,Ath Bilbao,1,2,A,1487.7,1522.4,0.39296905827762935,0.33968686273929766,0.26734407898307294,1477.0,1533.1
2024-12-01,Sociedad,Betis,2,0,H,1497.6,1506.9,0.4267221743653018,0.3186453506732225,0.2546324749614757,1506.2,1498.3
2024-12-02,Sevilla,Osasuna,1,1,D,1492.7,1514.3,0.4102654775754551,0.3289274844996211,0.26080703792492377,1491.6,1515.4
2024-12-03,Mallorca,Barcelona,1,5,A,1514.6,1563.4,0.3745033831314134,0.3511012827090009,0.2743953341595857,1504.3,1573.7
2024-12-04,Ath Bilbao,Real Madrid,2,1,H,1533.1,1575.9,0.38233802296296104,0.3462688021443875,0.2713931748926514,1542.6,1566.4
2024-12-06,Celta,Mallorca,2,0,H,1480.9,1504.3,0.407938344237341,0.33037826729813524,0.2616833884645238,1489.9,1495.3
2024-12-07,Las Palmas,Valladolid,2,1,H,1475.8,1431.3,0.4989613849250809,0.2733182698045804,0.22772034527033863,1482.9,1424.2
2024-12-07,Betis,Barcelona,2,2,D,1498.3,1573.7,0.34775638062919334,0.3799291125844656,0.2723145067863411,1498.8,1573.3
2024-12-07,Valencia,Vallecano,0,1,A,1460.5,1477.0,0.4170387653823456,0.3247000490224465,0.2582611855952079,1449.2,1488.2
2024-12-07,Girona,Real Madrid,0,3,A,1510.1,1566.4,0.3647987540169938,0.35706295603049576,0.2781382899525104,1500.0,1576.5
2024-12-08,Leganes,Sociedad,0,3,A,1475.0,1506.2,0.3976393491036201,0.33678736399501674,0.2655732869013632,1464.2,1517.0
2024-12-08,Ath Bilbao,Villarreal,2,0,H,1542.6,1540.3,0.4423063154088469,0.30888027704629584,0.24881340754485726,1550.9,1532.0
2024-12-08,Osasuna,Alaves,2,2,D,1515.4,1458.6,0.5152686488642019,0.2631104691333903,0.22162088200240784,1512.1,1461.9
2024-12-08,Ath Madrid,Sevilla,4,3,H,1565.7,1491.6,0.5382972756666232,0.24875336709881316,0.21294935723456368,1572.0,1485.2
2024-12-09,Getafe,Espanol,1,0,H,1464.8,1461.5,0.4434930237907949,0.30813588036106276,0.24837109584814235,1473.0,1453.3
2024-12-13,Valladolid,Valencia,1,0,H,1424.2,1449.2,0.4057510973152559,0.3317410106147884,0.26250789206995573,1433.2,1440.2
2024-12-14,Mallorca,Girona,2,1,H,1495.3,1500.0,0.43283321135907926,0.3148187781936914,0.2523480104472293,1503.8,1491.6
2024-12-14,Sevilla,Celta,1,0,H,1485.2,1489.9,0.43292966972508945,0.31475834865904756,0.25231198161586305,1493.7,1481.4
2024-12-14,Espanol,Osasuna,0,0,D,1453.3,1512.1,0.3615337742913984,0.3590620898651982,0.27940413584340335,1453.3,1512.2
2024-12-14,Vallecano,Real Madrid,3,3,D,1488.2,1576.5,0.33725246253698243,0.39689069498701984,0.2658568424759977,1489.0,1575.7
